route_id,agency_id,route_short_name,route_long_name,route_type
30,236037, Marghita - Oradea, Marghita - Petreu hc. - Abrămuţ hc. - Făncica h. - Bolcaş hc. - Târguşor Bihor h. - Săcuieni Bihor - Cadia h. - Diosig Hm. - Roşiori Bihor h. - Tămăşeu h. - Biharia Hm. - Oradea,2
31,236037, Valea lui Mihai - Marghita, Valea lui Mihai - Simion h. - Şilindru Hm. - Săcuieni Bihor - Târguşor Bihor h. - Bolcaş hc. - Făncica h. - Abrămuţ hc. - Petreu hc. - Marghita,2
32,236037, Cluj Napoca - Oradea, Cluj Napoca - Gârbău Hm. - Aghireş - Aghireş h. - Huedin - Poieni - Valea Drăganului h. - Ciucea Hm. - Negreni h. - Bulz Hm. - Bratca - Şuncuiuş Hm. - Vadu Crişului Hm. - Aleşd - Tileagd - Oşorhei Hm. - Oradea,2
33,236037, Beiuş - Holod, Beiuş - Finiş hc. - Ioaniş Hm. - Uilacu Beiuş hc. - Borz hc. - Urviş h. - Şoimi hc. - Suplacu de Tinca h. - Căpâlna hc. - Ginta h. - Holod,2
34,236037, Holod - Beiuş, Holod - Ginta h. - Căpâlna hc. - Suplacu de Tinca h. - Şoimi hc. - Urviş h. - Borz hc. - Uilacu Beiuş hc. - Ioaniş Hm. - Finiş hc. - Beiuş,2
35,236037, Holod - Oradea, Holod - Dumbrava Bihor h. - Râpa hc. - Tinca Hm. - Tăut h. - Batăr h. - Glad h. - Ciumeghiu Hm. - Salonta - Mădăraş Bihor h. - Cefa Hm. - Leş Bihor Hm. - Oradea Vest Hm. - Oradea,2
36,236037, Cluj Napoca - Bistriţa Nord, Cluj Napoca - Cluj Napoca Est - Apahida - Jucu Hm. - Răscruci h. - Bonţida Hm. - Iclod Hm. - Livada Someş h. - Gherla - Nima h. - Dej Călători - Dej Triaj - Reteag Hm. - Reteag h. - Ciceu Cristur h. - Beclean pe Someş - Şintereag Hm. - Caila hc. - Sfântu h. - Măgheruş Şieu Hm. - Arcalia hc. - Sărăţel - Bistriţa Nord,2
37,236037, Cluj Napoca - Oradea, Cluj Napoca - Gârbău Hm. - Aghireş - Aghireş h. - Huedin - Poieni - Valea Drăganului h. - Ciucea Hm. - Negreni h. - Bratca - Şuncuiuş Hm. - Vadu Crişului Hm. - Aleşd - Tileagd - Oşorhei Hm. - Oradea,2
38,236037, Şimleu Silvaniei - Marghita, Şimleu Silvaniei - Măgura Şimleului hc. - Nuşfalău h. - Ipu h. - Suplacu de Barcău - Balc hc. - Marginea Bihor h. - Abrami h. - Chiribiş hc. - Marghita,2
39,236037, Stana Hm. - Cluj Napoca, Stana Hm. - Aghireş h. - Aghireş - Dorolţu h. - Macău h. - Gârbău Hm. - Nădăşel h. - Mera Hm. - Rădaia h. - Suceag h. - Cluj Napoca,2
40,236037, Oradea - Marghita, Oradea - Episcopia Bihor - Biharia Hm. - Tămăşeu h. - Roşiori Bihor h. - Diosig Hm. - Cadia h. - Săcuieni Bihor - Târguşor Bihor h. - Bolcaş hc. - Făncica h. - Abrămuţ hc. - Petreu hc. - Marghita,2
41,236037, Cluj Napoca - Huedin, Cluj Napoca - Suceag h. - Rădaia h. - Mera Hm. - Nădăşel h. - Gârbău Hm. - Macău h. - Dorolţu h. - Aghireş - Aghireş h. - Gălăşeni h. - Stana Hm. - Huedin,2
